,Thickness_0,Thickness_1,U-Factor,DistrictCooling:Facility,Predicted
142,0.7120163347323222,0.6341228642848897,3.367793308088661,20370602743.33204,-0.4455004730519405
234,0.3081720729827749,0.33973442007669447,0.8110957706172501,21150283357.19569,-0.500958554027661
42,0.8362646734729314,0.5352794914752468,1.6565545713994392,20294059332.011986,-0.5856328813711393
190,0.7879952582551709,0.5663362772340251,3.569059027574401,20345459174.940907,-0.4452765386913886
41,0.7655156714855937,0.3358879660436177,4.907617198261582,20428478160.63756,-0.22999443482801185
252,0.4084241419383431,0.4160879312572609,2.182281495807126,20821046815.697857,-0.5190200736558899
102,0.04189588434888034,0.9032623117697101,1.0935907545574763,24701754157.34445,-0.4763607717258318
261,0.8825630555904482,0.04514244983549043,2.0673055524127095,20905987313.264893,-0.557422934239955
351,0.4881966350261855,0.7124367928889429,2.293832123358249,20577524839.180656,-0.5217266136630229
461,0.1430410714008542,0.9670819786635252,0.14850435298547404,21914192639.512848,-0.5020277388030109
