,Thickness_0,Thickness_1,U-Factor,DistrictCooling:Facility,DistrictHeating:Facility,PredictedCooling,PredictedHeating
332,0.514623757898033,0.929643781260498,1.374638789619844,20579295080.53574,41706904543.347244,-0.5119759685069051,-0.5929416024069152
467,0.36822824755571487,0.20724143044564813,2.5895961965116605,21048753189.47976,44738360713.56982,-0.30437930592467843,-0.3172659213295191
400,0.3123574003633125,0.933341024637687,4.474845690557005,21075271125.087616,43680361021.36441,-0.36915927118494546,-0.4868424700144472
143,0.29263052738486406,0.24659024767504253,3.413771486203577,21247005545.57303,45450917689.13148,-0.2557916197949872,-0.28482075696880954
365,0.7538048636572952,0.026719276533915558,4.845158114962932,21208731225.791557,51778667298.75329,-0.5661402621753854,-0.5413318326469075
299,0.6251800610713787,0.4033993903194096,2.2584512574709414,20494432080.526268,41885129720.19227,-0.5203878510276697,-0.5345510630866753
290,0.890981870382491,0.19180753957271274,2.803542361115395,20414111827.541397,42410414494.91359,-0.6867864339538349,-0.6577993336167639
30,0.3221975734022972,0.664062172364408,0.9194499533006433,21029072067.023563,43775567290.37515,-0.332232270285963,-0.39325551308971474
229,0.6320905964750209,0.9499594069384155,0.7855013289001516,20436879292.506313,41105480530.94703,-0.6001722055909682,-0.6704505444464192
489,0.20252197198453487,0.668097142830443,4.261974493085096,21459002201.198666,46462778888.5966,-0.2505832198359564,-0.3434070385019104
469,0.034686483504696025,0.8906649150401008,2.8246996013589247,25273694518.06436,69205289855.14864,-0.1562077541627328,-0.27992675367684383
81,0.13942674421825024,0.7125224875687418,2.161480603194281,21942686355.562317,49422969861.16983,-0.2068783511360704,-0.296366135235307
398,0.382296025710297,0.5592415769355846,3.4406256788510237,20857594331.59144,43161318632.1581,-0.3659225960513486,-0.4259427134859537
436,0.8766731559771113,0.7637724144888193,3.645791119198613,20224985942.124775,40538430159.7697,-0.7585416749758004,-0.8055541064345729
225,0.6503527378913642,0.7218156151294786,2.823538105087235,20409888024.62468,41230171792.33297,-0.5848561986858457,-0.6393327967875728
150,0.3006251397627493,0.9821710185461846,1.4722741929653207,21106351167.313805,43841814385.83392,-0.36227875668006687,-0.46719998848680006
168,0.33683731647544984,0.9156755912883483,4.352897170128741,20977037677.6887,43334329260.21772,-0.3844460483483419,-0.4972516199844988
160,0.07945238262052419,0.2969381508117085,1.0160671167323332,23129736420.871975,56604918031.05293,-0.10210315177072225,-0.13845893694939007
