date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),BLOCCO1:ZONA2:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA3:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA1:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA2:Zone Ventilation Sensible Heat Loss Energy [J](Hourly),BLOCCO1:ZONA3:Zone Ventilation Sensible Heat Loss Energy [J](Hourly),BLOCCO1:ZONA1:Zone Ventilation Sensible Heat Loss Energy [J](Hourly)
2018-11-26 03:00:00,5.0,10.02444587794115,10.37168290520277,10.016586032956283,3810516.3155465135,1084920.5812565256,3804091.388879796
2018-11-26 04:00:00,5.4,9.85398761822225,10.140878929451695,9.846452322834773,3355193.294322397,951662.5736647749,3349114.0904076938
2018-11-26 05:00:00,5.35,9.623882544918507,9.881685320363136,9.616638558736392,3211777.582397624,907215.2513993871,3205949.607918785
2018-11-26 06:00:00,5.15,9.364535013201712,9.611538248979993,9.35757711108634,3159748.7788083437,892137.6664688026,3154153.031369865
2018-11-26 07:00:00,4.95,9.112858372991736,9.348645987778557,9.106191078722182,3119796.170506259,879312.2500793517,3114436.3262738055
2018-11-26 08:00:00,4.975,8.912844772889484,9.128584689745415,8.906476756533204,2937489.427104281,828235.1646371168,2932384.953037186
2018-11-26 09:00:00,5.074999999999998,8.751124825912164,8.940263862217831,8.745059063573589,2730074.304354793,767984.8157652956,2725237.172543291
2018-11-26 10:00:00,5.175000000000002,8.601435993990286,8.768200428895847,8.595662754881248,2531114.972749501,711189.4860921226,2526534.1841388335
2018-11-26 11:00:00,5.5,8.516334756573933,8.652093567755568,8.510852119461891,2204232.7487121937,619547.8078699813,2199921.2380133327
2018-11-26 12:00:00,5.975,8.499817052081532,8.595196307853186,8.494623387396798,1820352.6896407125,509901.2180030117,1816326.2406044728
2018-11-26 13:00:00,6.4,8.508151174162803,8.567648158750549,8.503232762861634,1498042.3083319278,417018.2145542953,1494290.0643223433
2018-11-26 14:00:00,6.35,8.429604126675196,8.48036772360329,8.424925444578548,1480069.0818527325,408775.8017155519,1476517.0244773473
2018-11-26 15:00:00,6.225,8.313584050121245,8.371062615897358,8.309124142036204,1479816.0964250215,411309.7092737247,1476421.5538524315
2018-11-26 16:00:00,6.05,8.191665612165897,8.252865055559338,8.187419138939719,1522894.4764673472,422874.3868915955,1519658.818381174
2018-11-26 17:00:00,6.0,8.087537721269282,8.149126482494768,8.083495332731456,1478395.928283866,411999.1679536868,1475316.993933887
2018-11-26 18:00:00,6.0,8.000571699915263,8.056600791980202,7.996726736730193,1414596.770522517,393428.9167024208,1411681.652287975
2018-11-26 19:00:00,6.0,7.909894329764024,7.96293225040325,7.906235389905242,1347140.4087611807,374773.399404841,1344376.757910641
2018-11-26 20:00:00,5.85,7.790306728400452,7.845987754346403,7.786821331906821,1372964.4995231656,381495.61738914024,1370331.0584911194
2018-11-26 21:00:00,5.725,7.672103363923884,7.731023053580016,7.668785676351526,1375115.8374709473,383409.97872286063,1372604.3883905814
2018-11-26 22:00:00,5.55,7.543601774256673,7.605774819133699,7.540447372839672,1413766.8325960014,393740.2878731045,1411375.8422930914
2018-11-26 23:00:00,5.425000000000002,7.4206209280858575,7.485158171796648,7.417625552264355,1413081.6466686616,394632.79690809135,1410807.6954488636
2018-11-26 00:00:00,5.4,7.327647414998343,7.386503072471688,7.324812025461839,1360857.5047613122,379720.99534984474,1358711.5291502129
2018-11-27 01:00:00,5.324999999999998,8.788238234478987,8.536734109899008,8.785643660000678,4519651.806849129,973464.8134364649,4517764.3020821735
2018-11-27 02:00:00,5.3,9.204933062968909,8.866629612729067,9.202405218285438,5137936.153743667,1075375.4979178365,5135967.7916361205
2018-11-27 03:00:00,5.375,9.404656305885169,9.091733709274434,9.402287147069485,5271011.814891143,1111790.3710252405,5269191.392881006
2018-11-27 04:00:00,5.4,9.548079761079288,9.270278514404202,9.54584427355449,5371586.698592475,1144480.1273358692,5369873.79866988
2018-11-27 05:00:00,5.475,9.67677835078807,9.432368714409193,9.674666008803106,5411557.718001825,1162547.4415897764,5409944.254699977
2018-11-27 06:00:00,5.574999999999998,9.806756572096727,9.588269750296961,9.804756117376323,5432556.344480871,1173589.1940442282,5431031.315719226
2018-11-27 07:00:00,5.675000000000002,9.927592507479767,9.732516075060383,9.92569645172415,5447525.757023961,1182477.3630966782,5446082.296862185
2018-11-27 08:00:00,5.775,10.847997486174693,10.523562078270569,10.846158028866538,6789272.472115351,1446283.7015120462,6787815.9277955005
2018-11-27 09:00:00,5.8,12.66128419592609,11.911127298705315,12.659265224426733,0.0,0.0,0.0
2018-11-27 10:00:00,5.875,13.889781234254697,12.962170057302199,13.887790627755606,0.0,0.0,0.0
2018-11-27 11:00:00,6.125,14.793731741009227,13.863103002486186,14.791804200199644,0.0,0.0,0.0
2018-11-27 12:00:00,6.5,15.620549735792256,14.724832353762002,15.618688281105714,0.0,0.0,0.0
2018-11-27 13:00:00,6.825,16.29509358462255,15.466599288496328,16.293296284609152,0.0,0.0,0.0
2018-11-27 14:00:00,6.9,16.958706530930556,16.19002028761276,16.956972609317653,0.0,0.0,0.0
2018-11-27 15:00:00,6.9,17.665104757540284,16.935777485470286,17.663437442905085,0.0,0.0,0.0
2018-11-27 16:00:00,6.9,18.296572162983654,17.62087556171962,18.294971374112052,0.0,0.0,0.0
2018-11-27 17:00:00,6.824999999999998,18.884683767576433,18.263123693653682,18.883140766949765,0.0,0.0,0.0
2018-11-27 18:00:00,6.725,19.267126099733353,18.740928493455176,19.26563503090219,0.0,0.0,0.0
2018-11-27 19:00:00,6.625,16.05110036210301,16.504881556994732,16.04984913877281,8578643.070964258,2198869.6794697456,8577656.493829094
2018-11-27 20:00:00,6.525,14.712502193671666,15.47501729837406,14.711305116518323,6750481.02691458,1886198.7712264652,6749508.327615703
2018-11-27 21:00:00,6.425000000000002,13.904625675161894,14.589734019180382,13.903881445385888,5931918.711053267,1660006.7860186154,5931760.434589206
2018-11-27 22:00:00,6.324999999999998,13.587201994558045,13.969804890924998,13.586635152578962,5995755.453617111,1551431.774106773,5995755.453986141
2018-11-27 23:00:00,6.3,13.367690114369116,13.460703078887546,13.367192111319108,6022869.192364043,1448144.0574704397,6022869.1923645325
2018-11-27 00:00:00,6.225,13.192679696510186,13.174812286658009,13.19223587018337,6103987.007808727,1444257.657736163,6103987.007808727
2018-11-28 01:00:00,6.2,13.04758257318035,12.996330080488367,13.047184286909136,6131145.004131396,1450683.4670197456,6131145.004131349
