,Thickness_roof,Thickness_walls,U-VALUE_windows,DistrictHeating:Facility-ON,DistrictCooling:Facility-ON,DistrictHeating:Facility-OFF,DistrictCooling:Facility-OFF
45,0.757457627118644,0.757457627118644,1.4152542372881354,35868293526.78581,18147108389.50009,10473829469.73652,22342194394.825436
46,0.7740677966101694,0.7740677966101694,1.3355932203389829,35820622673.415,18161612125.774284,10444225382.762882,22356763208.28315
47,0.7906779661016948,0.7906779661016948,1.2559322033898304,35773279261.37769,18145792395.857094,10417593802.37827,22344466915.679226
48,0.8072881355932202,0.8072881355932202,1.1762711864406779,35727684546.593445,18124448789.73906,10393054689.272255,22335668555.29082
49,0.8238983050847457,0.8238983050847457,1.096610169491525,35683213502.01285,18101412251.429947,10368485062.511541,22327895122.453117
50,0.8405084745762711,0.8405084745762711,1.0169491525423724,35640741649.28426,18065203192.865276,10345742811.518312,22320398784.232197
51,0.8571186440677966,0.8571186440677966,0.9372881355932199,35590545487.07409,18031102933.18774,10302845570.292625,22314624759.724564
52,0.873728813559322,0.873728813559322,0.8576271186440678,35551017456.98386,18020850402.832157,10281454068.540314,22307501598.194717
53,0.8903389830508474,0.8903389830508474,0.7779661016949149,35512738066.25458,18008093027.44945,10260576659.887024,22300573384.09478
54,0.9069491525423728,0.9069491525423728,0.6983050847457619,35475881303.25094,17999270941.58527,10240573454.930676,22294066743.37146
55,0.9235593220338982,0.9235593220338982,0.6186440677966099,35440033028.30512,17986013981.081493,10220077337.220709,22287600734.097404
56,0.9401694915254236,0.9401694915254236,0.5389830508474569,35405226404.87194,17977376017.415367,10201758383.707472,22281201719.727634
57,0.9567796610169491,0.9567796610169491,0.45932203389830484,35371250043.34691,17967593181.614185,10183127377.573088,22275160745.988384
58,0.9733898305084745,0.9733898305084745,0.3796610169491519,35338474208.07043,17952471694.621037,10165614124.79017,22269482614.784332
59,0.99,0.99,0.3,35306655417.10535,17937025300.476547,10148681130.199505,22263878626.566174
