date,Temp_in_2,Temp_in_3,Temp_in_1,Temp_out,Cooling,Heating,Electricity,Temp_in,deltaT,Power
2018-08-24 18:00:00,27.97342438843732,27.65920856618745,27.952186578697486,22.650000000000006,6960545.105115384,169509.1470447554,15179108.724000003,27.861606511107414,5.211606511107409,0.04708587417909872
2018-08-24 19:00:00,28.117146022587253,27.867520058318053,28.092719509927047,22.45,3021765.3490884025,0.0,5623484.7239999985,28.025795196944117,5.575795196944117,0.0
2018-08-24 20:00:00,27.74445807844516,27.523136689239692,27.69933046795998,20.9,0.0,0.0,303330.76601256,27.655641745214947,6.755641745214948,0.0
2018-08-24 21:00:00,27.510125981310033,27.348474683730025,27.44012592633766,18.9,0.0,0.0,303330.76601256,27.432908863792573,8.532908863792574,0.0
2018-08-24 22:00:00,27.277720403047198,27.17344969236109,27.1948559376082,16.9,0.0,0.0,303330.76601256,27.215342011005493,10.315342011005495,0.0
2018-08-24 23:00:00,27.032611068996946,26.98238616044392,26.93595276472985,15.35,0.0,0.0,303330.76601256,26.983649998056904,11.633649998056905,0.0
2018-08-24 00:00:00,26.818840193436646,26.80055154378821,26.7101967684342,14.625,0.0,0.0,303330.76601256,26.776529501886348,12.151529501886348,0.0
2018-08-25 01:00:00,26.61358371603557,26.618103388621893,26.494222037882984,14.125,0.0,0.0,303330.76601256,26.575303047513483,12.450303047513483,0.0
2018-08-25 02:00:00,26.38736160068256,26.41828630585825,26.25859576263856,13.25,0.0,0.0,303330.76601256,26.354747889726454,13.104747889726454,0.0
2018-08-25 03:00:00,26.17942183647293,26.230971689307626,26.042527857673015,13.0,0.0,0.0,303330.76601256,26.150973794484525,13.150973794484525,0.0
2018-08-25 04:00:00,25.994999888985138,26.05603212812896,25.851203818891918,13.075,0.0,0.0,303330.76601256,25.96741194533534,12.89241194533534,0.0
2018-08-25 05:00:00,25.73736221065654,25.828911809830853,25.58768119397419,11.525,0.0,0.0,303330.76601256,25.717985071487195,14.192985071487195,0.0
2018-08-25 06:00:00,25.42672487684229,25.567897925173217,25.272085441764947,9.5,0.0,0.0,303330.76601256,25.422236081260152,15.922236081260152,0.0
2018-08-25 07:00:00,25.649155826117948,25.553510960075027,25.569211341341052,11.4,8017867.28967339,169509.14704475537,15179108.724000003,25.590626042511342,14.190626042511342,0.047085874179098715
2018-08-25 08:00:00,25.705338661248582,25.579540617534164,25.63376586759913,14.375,2911730.574046796,339018.2940895108,15179108.724000003,25.63954838212729,11.264548382127291,0.09417174835819744
2018-08-25 09:00:00,25.763621003545985,25.620953523169298,25.69774955215412,17.2,7193000.2190032285,678036.5881790215,15179108.724000003,25.6941080262898,8.494108026289801,0.18834349671639486
2018-08-25 10:00:00,25.841644820302218,25.679117109095397,25.781408626863698,20.075000000000006,10362279.07414364,678036.5881790215,15179108.724000003,25.76739018542044,5.692390185420432,0.18834349671639486
2018-08-25 11:00:00,25.94136502608329,25.754583007495647,25.88767290770037,21.175,11987974.460580176,678036.5881790215,15179108.724000003,25.861206980426434,4.686206980426434,0.18834349671639486
2018-08-25 12:00:00,26.048917756326322,25.83764503046061,26.003271644020963,21.75,12627466.872845596,508527.44113426615,15179108.724000003,25.963278143602633,4.213278143602633,0.14125762253729615
2018-08-25 13:00:00,26.15768377695042,25.922820784431345,26.12152339182455,22.275,13878610.776326325,508527.44113426615,15179108.724000003,26.06734265106877,3.792342651068772,0.14125762253729615
2018-08-25 14:00:00,26.262900966758078,26.00630673941757,26.237000701541,23.075000000000006,16014579.751578562,678036.5881790215,15179108.724000003,26.168736135905547,3.093736135905541,0.18834349671639486
2018-08-25 15:00:00,26.35214321412162,26.078224780218335,26.33625475123397,24.05,17659025.28541804,678036.5881790215,15179108.724000003,26.255540915191308,2.205540915191307,0.18834349671639486
2018-08-25 16:00:00,26.420715409009816,26.13347726104011,26.413491686046093,24.975,19127487.629502427,678036.5881790215,15179108.724000003,26.322561452032005,1.3475614520320036,0.18834349671639486
2018-08-25 17:00:00,26.45646546805061,26.161884883913217,26.455592945954322,24.75,18109955.589901093,339018.2940895108,15179108.724000003,26.35798109930605,1.6079810993060484,0.09417174835819744
2018-08-25 18:00:00,27.95132752038928,27.66287610768599,27.95408490797,24.15,6605490.731000386,169509.1470447554,15179108.724000003,27.856096178681756,3.706096178681758,0.04708587417909872
2018-08-25 19:00:00,28.092278095716356,27.867777953765568,28.095953916630396,23.55,3111193.11664328,0.0,5623484.7239999985,28.018669988704108,4.468669988704107,0.0
2018-08-25 20:00:00,27.809232834997157,27.59116710482173,27.811730080152078,22.425,0.0,0.0,303330.76601256,27.737376673323656,5.312376673323655,0.0
2018-08-25 21:00:00,27.605091477568887,27.451258823237012,27.60354635360217,21.05,0.0,0.0,303330.76601256,27.55329888480269,6.503298884802689,0.0
2018-08-25 22:00:00,27.42870896743205,27.32273971835028,27.41947764226396,19.725,0.0,0.0,303330.76601256,27.39030877601543,7.665308776015429,0.0
2018-08-25 23:00:00,27.281170901600557,27.207520250843128,27.26419592601882,19.475,0.0,0.0,303330.76601256,27.250962359487502,7.775962359487501,0.0
2018-08-25 00:00:00,27.17316147370107,27.108510226479112,27.148536131739238,19.65,0.0,0.0,303330.76601256,27.143402610639807,7.493402610639809,0.0
2018-08-26 01:00:00,27.06647776860073,27.009928463830825,27.03465978644837,19.775,0.0,0.0,303330.76601256,27.03702200629331,7.262022006293311,0.0
2018-08-26 02:00:00,26.912493058279352,26.876216023839692,26.87407016649149,18.75,0.0,0.0,303330.76601256,26.88759308287018,8.137593082870179,0.0
2018-08-26 03:00:00,26.71955984093409,26.718871101694326,26.67517702002296,17.35,0.0,0.0,303330.76601256,26.704535987550457,9.354535987550456,0.0
2018-08-26 04:00:00,26.59772242798336,26.609440830396103,26.548063355022048,17.6,0.0,0.0,303330.76601256,26.585075537800503,8.985075537800501,0.0
2018-08-26 05:00:00,26.50390802769006,26.512892036639627,26.44961862281411,17.95,0.0,0.0,303330.76601256,26.488806229047935,8.538806229047935,0.0
2018-08-26 06:00:00,26.36946860584107,26.39277631579178,26.31111250422036,17.625,0.0,0.0,303330.76601256,26.357785808617738,8.732785808617738,0.0
2018-08-26 07:00:00,25.84495859821445,25.779867602044945,25.81378903131591,17.125,2643803.5232061427,0.0,303330.76601256,25.812871743858437,8.687871743858437,0.0
2018-08-26 08:00:00,25.42256340693817,25.592518258882713,25.36686358487176,17.674999999999994,0.0,0.0,303330.76601256,25.460648416897545,7.785648416897551,0.0
2018-08-26 09:00:00,25.303179895302602,25.454615412799612,25.246166438904897,18.575000000000006,0.0,0.0,303330.76601256,25.334653915669037,6.7596539156690305,0.0
2018-08-26 10:00:00,25.271478007000013,25.381116981735744,25.213089757433213,19.475,0.0,0.0,303330.76601256,25.28856158205632,5.81356158205632,0.0
2018-08-26 11:00:00,25.307366451614513,25.37030864515152,25.248841694860438,20.375,0.0,0.0,303330.76601256,25.308838930542155,4.933838930542155,0.0
2018-08-26 12:00:00,25.40325122031763,25.41256939817143,25.34600313035853,21.275,6550.147486870237,0.0,303330.76601256,25.3872745829492,4.112274582949201,0.0
2018-08-26 13:00:00,25.53077733094773,25.44003331843469,25.486358322578255,22.175,160071.75215538125,0.0,303330.76601256,25.485722990653557,3.310722990653556,0.0
2018-08-26 14:00:00,25.58837443009709,25.45962199702198,25.56177520651848,22.325000000000006,285132.2177424692,0.0,303330.76601256,25.53659054454585,3.2115905445458424,0.0
2018-08-26 15:00:00,25.615496025023717,25.47754129173057,25.593636195952417,22.3,391997.1288245289,0.0,303330.76601256,25.56222450423557,3.2622245042355686,0.0
2018-08-26 16:00:00,25.628172590171037,25.48682406957096,25.61017623955856,22.225,410879.4606847228,0.0,303330.76601256,25.575057633100187,3.3500576331001852,0.0
2018-08-26 17:00:00,25.61833067239485,25.484439515644933,25.59881484525311,21.825,118591.40157816526,0.0,303330.76601256,25.567195011097635,3.7421950110976354,0.0
2018-08-26 18:00:00,25.89879437063617,25.764931634740037,25.873648997355968,21.4,0.0,0.0,303330.76601256,25.84579166757739,4.445791667577392,0.0
2018-08-26 19:00:00,25.913318345596103,25.778335265156336,25.88863893247959,20.925,0.0,0.0,303330.76601256,25.860097514410672,4.935097514410671,0.0
2018-08-26 20:00:00,25.835582200842985,25.747634130081746,25.81132208361293,20.35,0.0,0.0,303330.76601256,25.798179471512555,5.448179471512553,0.0
2018-08-26 21:00:00,25.74642244196475,25.68705076415988,25.72253667101452,19.825,0.0,0.0,303330.76601256,25.718669959046384,5.893669959046385,0.0
2018-08-26 22:00:00,25.631071282600928,25.601777019484466,25.607386733362972,19.25,0.0,0.0,303330.76601256,25.613411678482787,6.363411678482787,0.0
2018-08-26 23:00:00,25.51933838392819,25.51201815076561,25.495816685430952,18.95,0.0,0.0,303330.76601256,25.509057740041584,6.559057740041585,0.0
2018-08-26 00:00:00,25.41025393675509,25.417949224759678,25.386884680532575,18.675,0.0,0.0,303330.76601256,25.405029280682445,6.730029280682444,0.0
2018-08-27 01:00:00,25.299021554758934,25.320735073786057,25.275798892403145,18.45,0.0,0.0,303330.76601256,25.298518506982713,6.848518506982714,0.0
2018-08-27 02:00:00,25.164467680899453,25.20414152627916,25.14138961428678,17.725,0.0,0.0,303330.76601256,25.16999960715513,7.444999607155129,0.0
2018-08-27 03:00:00,25.010517510347434,25.074734948714905,24.98758338414543,16.9,0.0,0.0,303330.76601256,25.02427861440259,8.124278614402591,0.0
2018-08-27 04:00:00,24.850212555820484,24.937271910448047,24.827444821213998,16.025,0.0,0.0,303330.76601256,24.87164309582751,8.84664309582751,0.0
2018-08-27 05:00:00,24.699087180109128,24.805194209052626,24.676508127868537,15.575,0.0,0.0,303330.76601256,24.726929839010097,9.151929839010098,0.0
2018-08-27 06:00:00,24.552970156737523,24.672851913146516,24.530605518445807,15.2,0.0,0.0,303330.76601256,24.585475862776615,9.385475862776616,0.0
2018-08-27 07:00:00,22.618815701574558,24.53554712248961,22.60048098923639,14.875,0.0,0.0,303330.76601256,23.251614604433524,8.376614604433524,0.0
2018-08-27 08:00:00,22.41577776223168,24.35789059847388,22.398398247780687,15.925,0.0,0.0,303330.76601256,23.05735553616208,7.1323555361620805,0.0
2018-08-27 09:00:00,22.358343056934643,23.68048782121995,22.342270390697912,17.35,0.0,0.0,303330.76601256,22.793700422950835,5.443700422950833,0.0
2018-08-27 10:00:00,22.49885949539213,23.087135492633077,22.48465728886333,18.825,0.0,0.0,303330.76601256,22.690217425629513,3.8652174256295133,0.0
2018-08-27 11:00:00,22.66927652265434,23.114892947126233,22.658358897721783,19.875,0.0,0.0,303330.76601256,22.814176122500786,2.939176122500786,0.0
2018-08-27 12:00:00,22.88402831474513,23.190495239876157,22.87784261144313,20.85,0.0,0.0,303330.76601256,22.984122055354806,2.134122055354805,0.0
2018-08-27 13:00:00,23.15275560815711,23.346778772536787,23.15242725210879,21.775,0.0,0.0,303330.76601256,23.21732054426756,1.442320544267563,0.0
2018-08-27 14:00:00,23.338233309075303,23.464112850032485,23.344336555553216,22.15,0.0,0.0,303330.76601256,23.38222757155367,1.232227571553672,0.0
2018-08-27 15:00:00,23.470878602184953,23.561295206484367,23.48342732405075,22.35,0.0,0.0,303330.76601256,23.505200377573356,1.1552003775733546,0.0
2018-08-27 16:00:00,23.605521179279126,23.66571832238423,23.62384254423073,22.55,0.0,0.0,303330.76601256,23.631694015298027,1.0816940152980266,0.0
2018-08-27 17:00:00,23.637747969326682,23.69231138965693,23.66061426294888,22.375,0.0,0.0,303330.76601256,23.6635578739775,1.2885578739774992,0.0
2018-08-27 18:00:00,23.60725439385969,23.67270930408297,23.632866949349516,22.150000000000006,0.0,0.0,303330.76601256,23.63761021576406,1.4876102157640538,0.0
2018-08-27 19:00:00,23.532230200526385,23.609057497116012,23.55851902868588,21.875,0.0,0.0,303330.76601256,23.566602242109425,1.6916022421094254,0.0
2018-08-27 20:00:00,23.357230232945952,23.459350361631603,23.382640205594267,21.35,0.0,0.0,303330.76601256,23.399740266723942,2.0497402667239406,0.0
2018-08-27 21:00:00,23.12244268492549,23.25346899324976,23.14600744883705,20.75,0.0,0.0,303330.76601256,23.173973042337433,2.4239730423374333,0.0
2018-08-27 22:00:00,22.862959523805127,23.015295155688698,22.884219991522457,20.15,0.0,0.0,303330.76601256,22.920824890338764,2.7708248903387656,0.0
2018-08-27 23:00:00,22.633050914301055,22.79079646090445,22.6518438710225,19.775,0.0,0.0,303330.76601256,22.691897082076,2.9168970820760016,0.0
2018-08-27 00:00:00,22.405415273697358,22.56056490747545,22.42176976208298,19.4,0.0,0.0,303330.76601256,22.462583314418595,3.062583314418596,0.0
2018-08-28 01:00:00,22.17925133369152,22.331195420706358,22.19328893147172,19.075,0.0,0.0,303330.76601256,22.23457856195653,3.159578561956529,0.0
2018-08-28 02:00:00,21.848151084685966,22.017242058909012,21.860066583386796,18.25,0.0,0.0,303330.76601256,21.90848657566059,3.6584865756605893,0.0
2018-08-28 03:00:00,21.565420647714028,21.741805122375002,21.575350760068925,17.85,0.0,0.0,303330.76601256,21.62752551005265,3.777525510052648,0.0
2018-08-28 04:00:00,21.34326943296566,21.50281419455093,21.351356177071963,17.650000000000006,0.0,0.0,303330.76601256,21.39914660152952,3.749146601529514,0.0
2018-08-28 05:00:00,21.167964285992895,21.305590016148898,21.174388821464667,17.674999999999994,0.0,0.0,303330.76601256,21.215981041202152,3.5409810412021585,0.0
2018-08-28 06:00:00,21.01620712875428,21.129051582900566,21.021144871884037,17.7,0.0,0.0,303330.76601256,21.05546786117963,3.35546786117963,0.0
2018-08-28 07:00:00,21.846205487693485,21.74660312179163,21.849697369266497,17.775,0.0,169509.1470447554,15179108.724000003,21.81416865958387,4.039168659583872,0.04708587417909872
2018-08-28 08:00:00,23.162018156703414,22.80742653054844,23.164179564938213,18.025000000000006,0.0,339018.2940895108,15179108.724000003,23.044541417396687,5.019541417396681,0.09417174835819744
2018-08-28 09:00:00,23.89019834097641,23.400407797948628,23.891614970297265,18.25,0.0,678036.5881790215,15179108.724000003,23.72740703640744,5.477407036407438,0.18834349671639486
2018-08-28 10:00:00,24.267045331713547,23.878563509417443,24.267405010730172,18.525000000000006,903855.8474132449,678036.5881790215,15179108.724000003,24.137671283953722,5.612671283953716,0.18834349671639486
2018-08-28 11:00:00,24.465266432713538,24.327019481275986,24.465153093525025,19.35,4222017.291161077,678036.5881790215,15179108.724000003,24.41914633583818,5.06914633583818,0.18834349671639486
2018-08-28 12:00:00,24.641416024099613,24.57339186822596,24.64098138852689,20.35,7479464.61998737,508527.44113426615,15179108.724000003,24.61859642695082,4.268596426950818,0.14125762253729615
2018-08-28 13:00:00,24.816729181774807,24.756987875736836,24.816115617093374,21.35,11676458.250395583,508527.44113426615,15179108.724000003,24.796610891535007,3.4466108915350055,0.14125762253729615
2018-08-28 14:00:00,25.00307387552591,24.93548536332213,25.00247519400894,22.2,14493179.20722701,678036.5881790215,15179108.724000003,24.980344810952328,2.7803448109523288,0.18834349671639486
2018-08-28 15:00:00,25.182778629777996,25.11030161812878,25.182369246185203,23.0,16372220.208999777,678036.5881790215,15179108.724000003,25.158483164697326,2.1584831646973264,0.18834349671639486
2018-08-28 16:00:00,25.34793560028113,25.266721601337718,25.34767503095872,23.8,18004133.734229997,678036.5881790215,15179108.724000003,25.32077741085919,1.5207774108591892,0.18834349671639486
2018-08-28 17:00:00,25.483173517483817,25.39229749681312,25.48269697092839,22.875,15424312.62615779,339018.2940895108,15179108.724000003,25.452722661741774,2.577722661741774,0.09417174835819744
2018-08-28 18:00:00,26.98039467631136,26.801109936896328,26.978906993371897,21.3,2257554.302139174,169509.1470447554,15179108.724000003,26.920137202193192,5.620137202193192,0.04708587417909872
2018-08-28 19:00:00,26.930371392328702,26.702225554132887,26.924442806289612,19.775,0.0,0.0,5623484.7239999985,26.852346584250398,7.0773465842503995,0.0
2018-08-28 20:00:00,26.15975693556675,26.154592173539065,26.14872723303979,18.425,0.0,0.0,303330.76601256,26.1543587807152,7.729358780715199,0.0
2018-08-28 21:00:00,25.756759102731905,25.89845710452321,25.739878154915534,17.2,0.0,0.0,303330.76601256,25.798364787390216,8.598364787390217,0.0
2018-08-28 22:00:00,25.452519539733068,25.6647686772363,25.427951413238034,15.925,0.0,0.0,303330.76601256,25.5150798767358,9.5900798767358,0.0
2018-08-28 23:00:00,25.25198311297301,25.477032741044148,25.220519154883647,15.3,0.0,0.0,303330.76601256,25.3165116696336,10.016511669633598,0.0
2018-08-28 00:00:00,25.062425878720287,25.29286944721272,25.024512467194466,14.9,0.0,0.0,303330.76601256,25.126602597709155,10.226602597709155,0.0
2018-08-29 01:00:00,24.87384262649639,25.109964393063002,24.830093307821976,14.5,0.0,0.0,303330.76601256,24.937966775793786,10.437966775793786,0.0
2018-08-29 02:00:00,24.69107159153523,24.931055343751417,24.64212530103527,14.175,0.0,0.0,303330.76601256,24.754750745440635,10.579750745440634,0.0
2018-08-29 03:00:00,23.553820981496,24.756390139592625,23.50479577535752,13.875,0.0,0.0,303330.76601256,23.93833563214871,10.06333563214871,0.0
2018-08-29 04:00:00,22.203750653474327,24.542465244548012,22.1566997280689,13.575,0.0,0.0,303330.76601256,22.967638542030414,9.392638542030415,0.0
2018-08-29 05:00:00,21.425565155109503,22.819588965412468,21.37781371917498,12.45,0.0,0.0,303330.76601256,21.87432261323232,9.42432261323232,0.0
